frame,t_s,min_z,mean_z,v_max
557,0.111400,0.039189,0.239162,1.091658
558,0.111600,0.038970,0.238944,1.093618
559,0.111800,0.038751,0.238725,1.095578
560,0.112000,0.038532,0.238505,1.097537
561,0.112200,0.038312,0.238286,1.099497
562,0.112400,0.038092,0.238066,1.101457
563,0.112600,0.037872,0.237845,1.103417
564,0.112800,0.037651,0.237624,1.105377
565,0.113000,0.037430,0.237403,1.107337
566,0.113200,0.037208,0.237181,1.109296
567,0.113400,0.036986,0.236959,1.111256
568,0.113600,0.036764,0.236737,1.113216
569,0.113800,0.036541,0.236514,1.115176
570,0.114000,0.036317,0.236291,1.117135
571,0.114200,0.036094,0.236067,1.119095
572,0.114400,0.035870,0.235843,1.121055
573,0.114600,0.035645,0.235619,1.123016
574,0.114800,0.035421,0.235394,1.124976
575,0.115000,0.035195,0.235169,1.126935
576,0.115200,0.034970,0.234943,1.128895
577,0.115400,0.034744,0.234717,1.130855
578,0.115600,0.034517,0.234491,1.132815
579,0.115800,0.034291,0.234264,1.134774
580,0.116000,0.034063,0.234037,1.136734
581,0.116200,0.033836,0.233809,1.138695
582,0.116400,0.033608,0.233581,1.140654
583,0.116600,0.033380,0.233353,1.142614
584,0.116800,0.033151,0.233124,1.144574
585,0.117000,0.032922,0.232895,1.146534
586,0.117200,0.032692,0.232666,1.148494
587,0.117400,0.032462,0.232436,1.150454
588,0.117600,0.032232,0.232205,1.152414
589,0.117800,0.032001,0.231975,1.154373
590,0.118000,0.031770,0.231744,1.156333
591,0.118200,0.031539,0.231512,1.158293
592,0.118400,0.031307,0.231280,1.160253
593,0.118600,0.031075,0.231048,1.162213
594,0.118800,0.030842,0.230815,1.164173
595,0.119000,0.030609,0.230582,1.166132
596,0.119200,0.030376,0.230349,1.168092
597,0.119400,0.030142,0.230115,1.170052
598,0.119600,0.029908,0.229881,1.172012
599,0.119800,0.029673,0.229646,1.173973
600,0.120000,0.029438,0.229411,1.175932
601,0.120200,0.029203,0.229176,1.177892
602,0.120400,0.028967,0.228940,1.179852
603,0.120600,0.028731,0.228704,1.181812
604,0.120800,0.028494,0.228467,1.183772
605,0.121000,0.028257,0.228230,1.185732
606,0.121200,0.028020,0.227993,1.187691
607,0.121400,0.027782,0.227755,1.189729
608,0.121600,0.027545,0.227517,1.191959
609,0.121800,0.027308,0.227279,1.194080
610,0.122000,0.027073,0.227040,1.195783
611,0.122200,0.026839,0.226801,1.197981
612,0.122400,0.026606,0.226561,1.200246
613,0.122600,0.026376,0.226321,1.202540
614,0.122800,0.026149,0.226081,1.204576
615,0.123000,0.025926,0.225841,1.206983
616,0.123200,0.025706,0.225601,1.209339
617,0.123400,0.025491,0.225362,1.211697
618,0.123600,0.025281,0.225122,1.214387
619,0.123800,0.025079,0.224883,1.216977
620,0.124000,0.024885,0.224645,1.219404
621,0.124200,0.024699,0.224408,1.221594
622,0.124400,0.024523,0.224172,1.223447
623,0.124600,0.024357,0.223938,1.225844
624,0.124800,0.024202,0.223706,1.228726
625,0.125000,0.024057,0.223475,1.231449
626,0.125200,0.023923,0.223247,1.233976
627,0.125400,0.023800,0.223021,1.236274
628,0.125600,0.023688,0.222798,1.238305
629,0.125800,0.023587,0.222578,1.240007
