frame,t_s,min_z,mean_z,v_max
555,0.222000,0.019662,0.138775,2.156560
556,0.222400,0.019658,0.138477,2.158808
557,0.222800,0.019654,0.138180,2.160950
558,0.223200,0.019651,0.137884,2.163115
559,0.223600,0.019647,0.137589,2.165293
560,0.224000,0.019644,0.137295,2.167424
561,0.224400,0.019640,0.137002,2.169516
562,0.224800,0.019637,0.136710,2.171583
563,0.225200,0.019633,0.136419,2.173632
564,0.225600,0.019629,0.136128,2.175661
565,0.226000,0.019626,0.135838,2.177713
566,0.226400,0.019622,0.135549,2.179762
567,0.226800,0.019619,0.135261,2.181807
568,0.227200,0.019615,0.134974,2.183826
569,0.227600,0.019611,0.134687,2.185798
570,0.228000,0.019608,0.134401,2.187707
571,0.228400,0.019604,0.134116,2.189617
572,0.228800,0.019600,0.133831,2.191543
573,0.229200,0.019596,0.133547,2.193467
574,0.229600,0.019593,0.133263,2.195393
575,0.230000,0.019589,0.132981,2.197372
576,0.230400,0.019585,0.132698,2.199346
577,0.230800,0.019581,0.132417,2.201206
578,0.231200,0.019577,0.132136,2.202940
579,0.231600,0.019574,0.131855,2.204701
580,0.232000,0.019570,0.131575,2.206530
581,0.232400,0.019566,0.131296,2.208333
582,0.232800,0.019562,0.131017,2.210077
583,0.233200,0.019558,0.130739,2.211861
584,0.233600,0.019554,0.130462,2.213725
585,0.234000,0.019550,0.130185,2.215503
586,0.234400,0.019546,0.129908,2.217224
587,0.234800,0.019542,0.129632,2.218894
588,0.235200,0.019538,0.129357,2.220494
589,0.235600,0.019534,0.129083,2.222026
590,0.236000,0.019530,0.128808,2.223558
591,0.236400,0.019526,0.128535,2.225156
592,0.236800,0.019522,0.128262,2.226785
593,0.237200,0.019518,0.127990,2.228422
594,0.237600,0.019514,0.127718,2.230101
595,0.238000,0.019510,0.127447,2.231802
596,0.238400,0.019506,0.127176,2.233456
597,0.238800,0.019502,0.126906,2.234976
598,0.239200,0.019496,0.126637,2.236368
599,0.239600,0.019490,0.126368,2.237689
600,0.240000,0.019483,0.126100,2.246461
601,0.240400,0.019477,0.125833,2.260310
602,0.240800,0.019471,0.125566,2.273686
603,0.241200,0.019464,0.125300,2.286742
604,0.241600,0.019457,0.125035,2.301324
605,0.242000,0.019451,0.124770,2.319788
606,0.242400,0.019444,0.124505,2.338672
607,0.242800,0.019437,0.124242,2.357925
608,0.243200,0.019431,0.123979,2.377445
609,0.243600,0.019424,0.123716,2.396930
610,0.244000,0.019417,0.123455,2.415977
611,0.244400,0.019410,0.123193,2.434697
612,0.244800,0.019403,0.122933,2.453254
613,0.245200,0.019396,0.122673,2.471644
614,0.245600,0.019389,0.122414,2.489800
615,0.246000,0.019382,0.122155,2.507685
616,0.246400,0.019374,0.121897,2.525043
617,0.246800,0.019367,0.121639,2.541727
618,0.247200,0.019360,0.121382,2.557653
619,0.247600,0.019352,0.121126,2.578251
620,0.248000,0.019345,0.120870,2.600594
621,0.248400,0.019337,0.120615,2.622380
622,0.248800,0.019330,0.120360,2.643969
623,0.249200,0.019322,0.120106,2.665177
624,0.249600,0.019315,0.119852,2.685848
625,0.250000,0.019307,0.119599,2.706557
626,0.250400,0.019299,0.119346,2.731209
627,0.250800,0.019291,0.119094,2.754531
628,0.251200,0.019283,0.118843,2.776080
629,0.251600,0.019276,0.118592,2.796431
